Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,XLRE,XLC
2010-03-31,0.1388888888888889,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.0,0.0
2010-06-30,0.1388888888888889,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.0,0.0
2010-09-30,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.08333333333333336,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.11111111111111113,0.1388888888888889,0.0,0.0
2010-12-31,0.1388888888888889,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.0,0.0
2011-03-31,0.11111111111111113,0.08333333333333336,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.0,0.0
2011-06-30,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.1388888888888889,0.0,0.0
2011-09-30,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.1388888888888889,0.1388888888888889,0.0,0.0
2011-12-31,0.11111111111111113,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.0,0.0
2012-03-31,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.0,0.0
2012-06-30,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.0,0.0
2012-09-30,0.1388888888888889,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.1388888888888889,0.08333333333333336,0.0,0.0
2012-12-31,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.1388888888888889,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.0,0.0
2013-03-31,0.11111111111111113,0.1388888888888889,0.1388888888888889,0.11111111111111113,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.08333333333333336,0.08333333333333336,0.0,0.0
2013-06-30,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.1388888888888889,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.08333333333333336,0.0,0.0
2013-09-30,0.1388888888888889,0.08333333333333336,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.0,0.0
2013-12-31,0.1388888888888889,0.08333333333333336,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.1388888888888889,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.0,0.0
2014-03-31,0.08333333333333336,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.1388888888888889,0.0,0.0
2014-06-30,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.1388888888888889,0.0,0.0
2014-09-30,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.0,0.0
2014-12-31,0.1388888888888889,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.08333333333333336,0.1388888888888889,0.0,0.0
2015-03-31,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.0,0.0
2015-06-30,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.1388888888888889,0.11111111111111113,0.08333333333333336,0.0,0.0
2015-09-30,0.1388888888888889,0.1388888888888889,0.08333333333333336,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.08333333333333336,0.11111111111111113,0.1388888888888889,0.0,0.0
2015-12-31,0.11111111111111113,0.11111111111111113,0.08333333333333336,0.08333333333333336,0.1388888888888889,0.1388888888888889,0.11111111111111113,0.1388888888888889,0.08333333333333336,0.0,0.0
2016-03-31,0.07500000000000001,0.125,0.1,0.07500000000000001,0.07500000000000001,0.1,0.1,0.1,0.125,0.125,0.0
2016-06-30,0.07500000000000001,0.1,0.125,0.1,0.1,0.07500000000000001,0.1,0.07500000000000001,0.125,0.125,0.0
2016-09-30,0.1,0.07500000000000001,0.125,0.1,0.1,0.1,0.125,0.125,0.07500000000000001,0.07500000000000001,0.0
2016-12-31,0.1,0.07500000000000001,0.125,0.125,0.07500000000000001,0.125,0.1,0.1,0.1,0.07500000000000001,0.0
2017-03-31,0.125,0.1,0.07500000000000001,0.07500000000000001,0.125,0.1,0.1,0.125,0.1,0.07500000000000001,0.0
2017-06-30,0.1,0.07500000000000001,0.07500000000000001,0.125,0.125,0.125,0.1,0.1,0.07500000000000001,0.1,0.0
