Date,Portfolio,S&P 500
2010,0.12922733324480418,0.09139105228292554
2011,0.07386692878140844,0.01894988620768623
2012,0.18226207298838903,0.15990376748875068
2013,0.3344526761935396,0.32307694943707577
2014,0.16506570367387852,0.13463825434613397
2015,0.014209632412102158,0.012342907472618903
2016,0.16836947815985237,0.11997874526835473
2017,0.20786476122897812,0.2170542797732422
2018,-0.024888957366510533,-0.04569002748855955
2019,0.3112589967487991,0.3122387737291292
2020,0.1746302391010235,0.18331611814311688
2021,0.3283600264065458,0.28728758324280945
2022,-0.05952818669895421,-0.18175367497235095
2023,0.22087155844890916,0.261757941635653
2024,0.16201787827379777,0.16191759710317122
