Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-03-31,,,,,,,,,,,
2010-06-30,-0.15992391255856653,,-0.13236209119682407,-0.13234973250022353,-0.11763989842442157,-0.1137591500311187,-0.08045252283651383,,-0.03715151602535427,-0.11785435729604277,-0.11011296910123569
2010-09-30,0.17896102965465222,,0.13360926200986079,0.04143673685532323,0.14616842275880848,0.13251062940360803,0.10113069087384363,,0.12179411162674647,0.08676565244764922,0.15061490127499266
2010-12-31,0.18127820211645673,,0.2228613376235149,0.11552876768793596,0.12046556443582324,0.09820046767734114,0.060472071816067174,,0.010681839351724287,0.03848439115493507,0.12632876891541223
2011-03-31,0.04535681006484671,,0.1724316588772128,0.030275353007697126,0.08504350024777962,0.038033799962063686,0.026621820579724398,,0.026939113394718994,0.05590067164279522,0.04733607928071848
2011-06-30,-0.010738593806994823,,-0.05168796797129771,-0.060089573469555346,-0.006513580693217502,-0.009865295962409926,0.05110324772076469,,0.06122625764680434,0.0783484867389912,0.03334072680773903
2011-09-30,-0.25028777821257775,,-0.22044146159701083,-0.22763007208587716,-0.2109678189153592,-0.07821812447002541,-0.043483757199858086,,0.014433182614522755,-0.10213934045710149,-0.13007975434661634
2011-12-31,0.14895032319887314,,0.1865081548409726,0.10781277078662099,0.16277084548532716,0.08310876332742634,0.1053175743881003,,0.08218296508021172,0.09941875104200792,0.12583155916517885
2012-03-31,0.10778410598778398,,0.04190872872178941,0.21926537553676506,0.11391021187725703,0.18887416738336893,0.054491319385500114,,-0.017116400157931144,0.08964568860019084,0.1591197313415189
2012-06-30,-0.04026893666582887,,-0.07051459791995474,-0.06896244171481414,-0.04225588078117226,-0.04371515292135031,0.027271523934891517,,0.06547535379058922,0.01608252611265848,-0.02562080380927001
2012-09-30,0.048250372881464054,,0.11132677493802134,0.06931551086476784,0.030738795437969424,0.07752727283009686,0.037760253817974654,,-0.005811535296070036,0.060757364761856225,0.0724824912346489
2012-12-31,0.02912606532755113,,-0.02241698189056962,0.0579028614727104,0.04511410209241995,-0.05883938619861717,-0.015027132748572813,,-0.029565121934979954,-0.0006130089200745426,0.020395734367845364
2013-03-31,0.04798572623863584,,0.11544968840399039,0.1147894157054381,0.10662837475253961,0.0535099841238591,0.14517162719522747,,0.1294267108388396,0.15719285458420518,0.12054374639299881
2013-06-30,-0.01369006535482975,,-0.008003316975218833,0.07239989495951704,0.026290430652596397,0.01567473965003585,0.003995428437198134,,-0.027696691279640584,0.04081693021904975,0.06756074433289894
2013-09-30,0.10092364026877676,,0.06378793109869751,0.027687330227150975,0.09342885639824483,0.052471230235206834,0.009622669501174519,,0.002603471646696942,0.06697521773405013,0.0781548661050866
2013-12-31,0.10714161926229249,,0.07251567293537775,0.10310382668910267,0.13178521839251367,0.12097923067030081,0.08810894577773598,,0.026932651151196918,0.10038157731178221,0.10667631063378136
2014-03-31,0.02701908397374697,,0.011162786058334762,0.025744821309702015,0.005702244732336714,0.02144288716088849,0.0069500297295490565,,0.10101283631828961,0.05866426522410584,-0.02852510428844146
2014-06-30,0.054831238392699655,,0.1291798510478528,0.021933965508801556,0.0377731782153512,0.05988508209082788,0.04333348241093904,,0.07666316079075886,0.043912951059356775,0.03450719971201677
2014-09-30,0.003625934923128238,,-0.09004728421252783,0.023120463995922602,-0.012195593905367064,0.04489541570482114,0.017384744411237163,,-0.04045668510678346,0.05437772582056977,0.0025932095713216974
2014-12-31,-0.014191819967516395,,-0.12103543476387946,0.07278108685249651,0.07051203286753371,0.041731903386379665,0.08265847847280017,,0.13188189979721265,0.07390250994262271,0.08635656921709889
2015-03-31,0.007914525747825474,,-0.013300570698246306,-0.021431506916521403,-0.009786567535496116,0.006278194815423577,0.011310919656776663,,-0.05167721265739644,0.06321760809319188,0.04785942318627878
2015-06-30,-0.0034613442634371383,,-0.024757931449162274,0.015619414454717928,-0.025848763520460283,0.003529590718552633,-0.01733670298100376,,-0.058358670821851866,0.029603433629517673,0.01822236648586051
2015-09-30,-0.17044731212617903,,-0.1797305695785114,-0.06600433875637701,-0.0721504774004228,-0.041591669313227664,-0.0022174436863736657,,0.05399770135231585,-0.10646546871946994,-0.02536783470901849
2015-12-31,0.09582418857270025,,-0.0054519054937153255,0.058221885113044936,0.06898846467210351,0.08975004085635785,0.07781152399464353,,0.01010459475250669,0.09218095048479102,0.05687179810662557
2016-03-31,0.03559453413901981,,0.03335360447635982,-0.05162096631347257,0.051775516910699704,0.04095858174636624,0.056302801745699016,0.041157655325201326,0.15510856064351297,-0.055627775014592595,0.016192512303552675
2016-06-30,0.0393157955637391,,0.10986150229692893,0.021433068796644417,0.015301758504473906,-0.017557848038549984,0.04564295461074397,0.053088032267670116,0.0660859671200491,0.06224096579996452,-0.009645965301652293
2016-09-30,0.03573846106780598,,0.04098485731150858,0.044263878976932736,0.0480104711299969,0.10624050013973751,-0.029201572921383256,-0.01925770629944812,-0.05836162756010421,0.009471523589589692,0.02927468114582288
2016-12-31,0.04771123280065459,,0.07234383932124144,0.21013355782999277,0.0723024744219587,0.016605494667655707,-0.02094221205630209,-0.04441828325974895,0.001024791544783854,-0.03976660611968075,0.02301321528198197
2017-03-31,0.0578456493560775,,-0.06639280106697065,0.024282668155939824,0.05039872978110571,0.10660315609976556,0.061054262818054816,0.03419702917759193,0.06444165978503702,0.08252920103285577,0.08369863854628612
