Date,SPY
2010-03-31,
2010-06-30,-0.11358000743111363
2010-09-30,0.11161558090850598
2010-12-31,0.10760834917426587
2011-03-31,0.05897370392813239
2011-06-30,0.0002585987390442135
2011-09-30,-0.13817227664676202
2011-12-31,0.11618169322854488
2012-03-31,0.1269088791338584
2012-06-30,-0.02844113898859124
2012-09-30,0.06347208073913402
2012-12-31,-0.00381970172793189
2013-03-31,0.10502622868130906
2013-06-30,0.029353480122501496
2013-09-30,0.05241822087567938
2013-12-31,0.10524770314928245
2014-03-31,0.017030696534987122
2014-06-30,0.051590373756638996
2014-09-30,0.01134728969427723
2014-12-31,0.04900230780041692
2015-03-31,0.008813063854216985
2015-06-30,0.0020410074354217933
2015-09-30,-0.06423981679117752
2015-12-31,0.07020478906663019
2016-03-31,0.013292879847022876
2016-06-30,0.02456897038690209
2016-09-30,0.037772122418071374
2016-12-31,0.03951698740887255
2017-03-31,0.05921161601132163
2017-06-30,0.030708258929322163
2017-09-30,0.044155413243460506
2017-12-31,0.06764362861579398
2018-03-31,-0.009953054905095682
2018-06-30,0.035523963618231624
2018-09-30,0.076511532897378
2018-12-31,-0.1353211551288489
2019-03-31,0.13526008785936638
2019-06-30,0.04228678252629292
2019-09-30,0.017544053397100967
2019-12-31,0.08987589004752605
2020-03-31,-0.19447704858646608
2020-06-30,0.2016177375138195
2020-09-30,0.09038302068013726
2020-12-31,0.12118544312779456
2021-03-31,0.06351777349368626
2021-06-30,0.0835931136364958
2021-09-30,0.005734826316624808
2021-12-31,0.11065992683450165
2022-03-31,-0.04614467531343025
2022-06-30,-0.16110274917304934
2022-09-30,-0.049311385779274186
2022-12-31,0.07560915788108491
2023-03-31,0.07458220046388209
2023-06-30,0.08680377082590618
2023-09-30,-0.03224167992958338
2023-12-31,0.11639621137047618
2024-03-31,0.10390102958068947
2024-06-30,0.043790869566235235
2024-09-30,0.008397353221555548
